match_id,terrain_id,sport,date,time,hours_before,duration_min,hour_bucket,quota_active,resa_restreint,jeu_restreint,cancel_level,advantage,discount_percent,price_member,price_external,players_registered,J_max,open_slots,is_full_final,nb_members,nb_externals,status,canceled_at
M00001,padel3,padel,2/10/2025,14:30,72,120,normale,1,0,0,strict,0,0,14,16,1,4,3,1,1,0,played,Not cancelled
M00001,padel3,padel,2/10/2025,14:30,48,120,normale,1,0,0,strict,0,0,14,16,1,4,3,1,0,1,played,Not cancelled
M00001,padel3,padel,2/10/2025,14:30,36,120,normale,1,0,0,strict,0,0,14,16,3,4,1,1,2,1,played,Not cancelled
M00001,padel3,padel,2/10/2025,14:30,24,120,normale,1,0,0,strict,0,0,14,16,4,4,0,1,3,1,played,Not cancelled
M00001,padel3,padel,2/10/2025,14:30,12,120,normale,1,0,0,strict,0,0,14,16,4,4,0,1,4,0,played,Not cancelled
M00001,padel3,padel,2/10/2025,14:30,6,120,normale,1,0,0,strict,0,0,14,16,4,4,0,1,4,0,played,Not cancelled
M00001,padel3,padel,2/10/2025,14:30,3,120,normale,1,0,0,strict,0,0,14,16,4,4,0,1,4,0,played,Not cancelled
M00002,padel3,padel,6/19/2025,10:00,72,90,creuse,1,1,0,ultra,1,25,8,15,1,4,3,1,0,1,played,Not cancelled
M00002,padel3,padel,6/19/2025,10:00,48,90,creuse,1,1,0,ultra,1,25,8,15,1,4,3,1,1,0,played,Not cancelled
M00002,padel3,padel,6/19/2025,10:00,36,90,creuse,1,1,0,ultra,1,25,8,13,1,4,3,1,1,0,played,Not cancelled
M00002,padel3,padel,6/19/2025,10:00,24,90,creuse,1,0,0,ultra,1,25,8,14,2,4,2,1,2,0,played,Not cancelled
M00002,padel3,padel,6/19/2025,10:00,12,90,creuse,1,0,0,ultra,1,25,8,14,3,4,1,1,0,3,played,Not cancelled
M00002,padel3,padel,6/19/2025,10:00,6,90,creuse,0,0,0,ultra,1,25,8,15,3,4,1,1,1,2,played,Not cancelled
M00002,padel3,padel,6/19/2025,10:00,3,90,creuse,0,0,0,ultra,1,25,8,15,4,4,0,1,3,1,played,Not cancelled
M00003,padel1,padel,1/27/2025,19:30,72,90,pleine,0,1,0,strict,1,25,10,16,1,4,3,1,1,0,played,Not cancelled
M00003,padel1,padel,1/27/2025,19:30,48,90,pleine,0,1,0,strict,1,25,11,18,1,4,3,1,1,0,played,Not cancelled
M00003,padel1,padel,1/27/2025,19:30,36,90,pleine,0,1,0,strict,1,25,11,18,3,4,1,1,3,0,played,Not cancelled
M00003,padel1,padel,1/27/2025,19:30,24,90,pleine,0,1,0,strict,1,25,11,18,4,4,0,1,3,1,played,Not cancelled
M00003,padel1,padel,1/27/2025,19:30,12,90,pleine,0,1,0,strict,1,25,11,18,4,4,0,1,4,0,played,Not cancelled
M00003,padel1,padel,1/27/2025,19:30,6,90,pleine,0,1,0,strict,1,25,11,18,4,4,0,1,4,0,played,Not cancelled
M00003,padel1,padel,1/27/2025,19:30,3,90,pleine,0,1,0,strict,1,25,11,18,4,4,0,1,3,1,played,Not cancelled
M00004,padel2,padel,4/26/2025,16:30,72,90,normale,0,0,0,ultra,1,100,0,16,1,4,3,0,1,0,canceled,4/26/2025 7:41
M00004,padel2,padel,4/26/2025,16:30,48,90,normale,0,0,0,ultra,1,100,0,16,1,4,3,0,1,0,canceled,4/26/2025 7:41
M00004,padel2,padel,4/26/2025,16:30,36,90,normale,0,0,0,ultra,1,100,0,16,1,4,3,0,1,0,canceled,4/26/2025 7:41
M00004,padel2,padel,4/26/2025,16:30,24,90,normale,0,0,0,ultra,1,100,0,16,1,4,3,0,1,0,canceled,4/26/2025 7:41
M00004,padel2,padel,4/26/2025,16:30,12,90,normale,0,0,0,ultra,1,100,0,16,1,4,3,0,0,1,canceled,4/26/2025 7:41
M00004,padel2,padel,4/26/2025,16:30,6,90,normale,0,0,0,ultra,1,100,0,16,1,4,3,0,1,0,canceled,4/26/2025 7:41
M00004,padel2,padel,4/26/2025,16:30,3,90,normale,0,0,0,ultra,1,75,3,15,1,4,3,0,1,0,canceled,4/26/2025 7:41
M00005,tennis2,tennis,1/26/2025,11:30,72,90,creuse,1,1,1,flexible,0,0,9,0,1,2,1,0,1,0,canceled,1/25/2025 3:08
M00005,tennis2,tennis,1/26/2025,11:30,48,90,creuse,1,1,1,flexible,0,0,9,0,1,2,1,0,1,0,canceled,1/25/2025 3:08
M00005,tennis2,tennis,1/26/2025,11:30,36,90,creuse,1,1,1,flexible,0,0,9,0,1,2,1,0,1,0,canceled,1/25/2025 3:08
M00005,tennis2,tennis,1/26/2025,11:30,24,90,creuse,1,1,1,flexible,0,0,9,0,1,2,1,0,1,0,canceled,1/25/2025 3:08
M00005,tennis2,tennis,1/26/2025,11:30,12,90,creuse,1,1,1,flexible,0,0,9,0,1,2,1,0,1,0,canceled,1/25/2025 3:08
M00005,tennis2,tennis,1/26/2025,11:30,6,90,creuse,1,1,1,flexible,0,0,9,0,1,2,1,0,1,0,canceled,1/25/2025 3:08
M00005,tennis2,tennis,1/26/2025,11:30,3,90,creuse,1,1,0,flexible,0,0,9,11,1,2,1,0,1,0,canceled,1/25/2025 3:08
M00006,tennis1,tennis,8/5/2025,18:00,72,90,pleine,0,0,0,ultra,0,0,13,17,1,2,1,0,1,0,canceled,8/5/2025 14:11
M00006,tennis1,tennis,8/5/2025,18:00,48,90,pleine,0,0,0,ultra,0,0,13,17,1,2,1,0,1,0,canceled,8/5/2025 14:11
M00006,tennis1,tennis,8/5/2025,18:00,36,90,pleine,0,0,0,ultra,0,0,13,17,1,2,1,0,1,0,canceled,8/5/2025 14:11
M00006,tennis1,tennis,8/5/2025,18:00,24,90,pleine,0,1,1,ultra,0,0,13,0,1,2,1,0,1,0,canceled,8/5/2025 14:11
M00006,tennis1,tennis,8/5/2025,18:00,12,90,pleine,0,0,0,ultra,1,75,3,16,1,2,1,0,1,0,canceled,8/5/2025 14:11
M00006,tennis1,tennis,8/5/2025,18:00,6,90,pleine,0,0,0,ultra,1,75,3,16,1,2,1,0,0,1,canceled,8/5/2025 14:11
M00006,tennis1,tennis,8/5/2025,18:00,3,90,pleine,0,0,0,ultra,1,75,3,16,1,2,1,0,0,1,canceled,8/5/2025 14:11
M00007,padel1,padel,9/10/2025,8:30,72,90,creuse,0,1,1,flexible,1,75,3,0,0,4,4,0,0,0,canceled,9/10/2025 2:07
M00007,padel1,padel,9/10/2025,8:30,48,90,creuse,0,1,1,flexible,1,75,3,0,0,4,4,0,0,0,canceled,9/10/2025 2:07
M00007,padel1,padel,9/10/2025,8:30,36,90,creuse,0,1,1,flexible,1,75,3,0,1,4,3,0,1,0,canceled,9/10/2025 2:07
M00007,padel1,padel,9/10/2025,8:30,24,90,creuse,0,1,1,flexible,1,75,3,0,1,4,3,0,1,0,canceled,9/10/2025 2:07
M00007,padel1,padel,9/10/2025,8:30,12,90,creuse,0,1,0,flexible,1,75,3,16,1,4,3,0,0,1,canceled,9/10/2025 2:07
M00007,padel1,padel,9/10/2025,8:30,6,90,creuse,0,1,0,flexible,1,75,3,16,1,4,3,0,1,0,canceled,9/10/2025 2:07
M00007,padel1,padel,9/10/2025,8:30,3,90,creuse,0,1,0,flexible,1,75,3,16,1,4,3,0,1,0,canceled,9/10/2025 2:07
M00008,tennis1,tennis,3/7/2025,11:30,72,90,creuse,0,1,1,moderate,1,25,8,0,1,2,1,1,1,0,played,Not cancelled
M00008,tennis1,tennis,3/7/2025,11:30,48,90,creuse,0,1,1,moderate,1,25,8,0,1,2,1,1,1,0,played,Not cancelled
M00008,tennis1,tennis,3/7/2025,11:30,36,90,creuse,0,1,1,moderate,1,25,8,0,2,2,0,1,2,0,played,Not cancelled
M00008,tennis1,tennis,3/7/2025,11:30,24,90,creuse,0,1,1,moderate,1,25,8,0,2,2,0,1,2,0,played,Not cancelled
M00008,tennis1,tennis,3/7/2025,11:30,12,90,creuse,0,1,1,moderate,1,25,8,0,2,2,0,1,2,0,played,Not cancelled
M00008,tennis1,tennis,3/7/2025,11:30,6,90,creuse,0,1,1,moderate,1,25,8,0,2,2,0,1,2,0,played,Not cancelled
M00008,tennis1,tennis,3/7/2025,11:30,3,90,creuse,0,1,1,moderate,1,25,8,0,2,2,0,1,2,0,played,Not cancelled
M00009,padel3,padel,11/8/2025,14:30,72,120,normale,0,1,1,ultra,1,75,4,0,1,4,3,0,1,0,canceled,11/8/2025 12:49
M00009,padel3,padel,11/8/2025,14:30,48,120,normale,0,1,1,ultra,0,0,15,0,1,4,3,0,1,0,canceled,11/8/2025 12:49
M00009,padel3,padel,11/8/2025,14:30,36,120,normale,0,1,1,ultra,0,0,15,0,1,4,3,0,1,0,canceled,11/8/2025 12:49
M00009,padel3,padel,11/8/2025,14:30,24,120,normale,0,1,1,ultra,0,0,15,0,1,4,3,0,1,0,canceled,11/8/2025 12:49
M00009,padel3,padel,11/8/2025,14:30,12,120,normale,0,1,1,ultra,1,25,11,0,1,4,3,0,1,0,canceled,11/8/2025 12:49
M00009,padel3,padel,11/8/2025,14:30,6,120,normale,0,1,1,ultra,1,25,13,0,1,4,3,0,1,0,canceled,11/8/2025 12:49
M00009,padel3,padel,11/8/2025,14:30,3,120,normale,0,1,1,ultra,1,25,13,0,1,4,3,0,1,0,canceled,11/8/2025 12:49
M00010,tennis2,tennis,9/20/2025,8:30,72,90,creuse,1,1,0,flexible,1,25,8,12,2,2,0,1,2,0,played,Not cancelled
M00010,tennis2,tennis,9/20/2025,8:30,48,90,creuse,1,1,0,flexible,1,25,8,12,2,2,0,1,2,0,played,Not cancelled
M00010,tennis2,tennis,9/20/2025,8:30,36,90,creuse,1,1,0,flexible,1,25,8,12,2,2,0,1,2,0,played,Not cancelled
M00010,tennis2,tennis,9/20/2025,8:30,24,90,creuse,1,1,0,flexible,1,25,8,12,2,2,0,1,2,0,played,Not cancelled
M00010,tennis2,tennis,9/20/2025,8:30,12,90,creuse,1,1,0,flexible,1,25,8,12,2,2,0,1,2,0,played,Not cancelled
M00010,tennis2,tennis,9/20/2025,8:30,6,90,creuse,1,1,0,flexible,1,25,8,12,2,2,0,1,1,1,played,Not cancelled
M00010,tennis2,tennis,9/20/2025,8:30,3,90,creuse,1,1,0,flexible,1,25,8,12,2,2,0,1,2,0,played,Not cancelled
M00011,tennis2,tennis,10/19/2025,7:00,72,90,creuse,0,0,0,moderate,0,0,9,13,2,2,0,1,1,1,played,Not cancelled
M00011,tennis2,tennis,10/19/2025,7:00,48,90,creuse,0,0,0,moderate,0,0,9,13,2,2,0,1,2,0,played,Not cancelled
M00011,tennis2,tennis,10/19/2025,7:00,36,90,creuse,0,0,0,moderate,0,0,9,13,2,2,0,1,1,1,played,Not cancelled
M00011,tennis2,tennis,10/19/2025,7:00,24,90,creuse,0,0,0,moderate,0,0,9,13,2,2,0,1,1,1,played,Not cancelled
M00011,tennis2,tennis,10/19/2025,7:00,12,90,creuse,0,0,0,moderate,0,0,9,13,2,2,0,1,2,0,played,Not cancelled
M00011,tennis2,tennis,10/19/2025,7:00,6,90,creuse,0,0,0,moderate,0,0,9,13,2,2,0,1,0,2,played,Not cancelled
M00011,tennis2,tennis,10/19/2025,7:00,3,90,creuse,0,0,0,moderate,0,0,9,13,2,2,0,1,1,1,played,Not cancelled
M00012,tennis3,tennis,1/7/2025,16:30,72,90,normale,1,1,1,ultra,0,0,10,0,1,2,1,1,1,0,played,Not cancelled
M00012,tennis3,tennis,1/7/2025,16:30,48,90,normale,1,1,1,ultra,0,0,10,0,1,2,1,1,1,0,played,Not cancelled
M00012,tennis3,tennis,1/7/2025,16:30,36,90,normale,1,1,1,ultra,0,0,10,0,2,2,0,1,2,0,played,Not cancelled
M00012,tennis3,tennis,1/7/2025,16:30,24,90,normale,1,1,1,ultra,0,0,10,0,2,2,0,1,2,0,played,Not cancelled
M00012,tennis3,tennis,1/7/2025,16:30,12,90,normale,1,1,1,ultra,0,0,10,0,2,2,0,1,2,0,played,Not cancelled
M00012,tennis3,tennis,1/7/2025,16:30,6,90,normale,1,1,1,ultra,0,0,10,0,2,2,0,1,2,0,played,Not cancelled
M00012,tennis3,tennis,1/7/2025,16:30,3,90,normale,1,1,1,ultra,0,0,10,0,2,2,0,1,2,0,played,Not cancelled
M00013,padel1,padel,1/4/2025,16:30,72,90,normale,0,0,0,flexible,1,25,10,15,0,4,4,0,0,0,canceled,1/4/2025 2:43
